id,ra,dec,f606w
1127,265.181515,-53.667328,16.6346 
1130,265.183516,-53.667175,16.2344 
1131,265.181727,-53.667174,16.64 
1140,265.180561,-53.666908,16.762 
1145,265.173226,-53.666822,15.6238 
1146,265.180583,-53.666771,15.8449 
1154,265.18112,-53.666528,16.4731 
1156,265.181013,-53.666421,15.8983 
1169,265.177167,-53.665876,16.654 
1172,265.176632,-53.665803,16.595 
8090,265.180542,-53.677222,17.9299 
8092,265.180209,-53.676626,17.9524 
8093,265.180069,-53.676467,18.5301 
8094,265.179744,-53.676512,16.9429 
8095,265.179658,-53.676913,19.0519 
8096,265.179623,-53.677427,16.6656 
8097,265.179348,-53.677124,18.313 
8098,265.179184,-53.677123,18.3269 
8099,265.178931,-53.676797,17.4578 
8101,265.179824,-53.676963,20.8398 
8102,265.1796,-53.676868,20.1277 
8104,265.179434,-53.676905,19.9151 
8105,265.179223,-53.676751,20.5693 
8109,265.183025,-53.676544,17.0365 
8112,265.182303,-53.676778,16.8465 
8113,265.181937,-53.677058,18.2035 
8115,265.181282,-53.676976,18.685 
8117,265.181052,-53.677042,18.1579 
8118,265.18297,-53.676703,20.1282 
8121,265.182766,-53.676808,22.4295 
8125,265.182579,-53.676836,19.484 
8126,265.182153,-53.676734,23.8834 
8131,265.181428,-53.676688,20.1127 
8156,265.174303,-53.676469,17.7992 
8161,265.173125,-53.676587,17.6894 
8167,265.174149,-53.676456,21.2969 
8168,265.174005,-53.677047,22.1501 
8183,265.178481,-53.67665,16.8132 
8184,265.178099,-53.676794,18.4543 
8185,265.177737,-53.677127,17.6843 
8186,265.177623,-53.677489,17.3485 
8187,265.177348,-53.677331,18.4052 
8188,265.177132,-53.676462,17.0689 
8189,265.176855,-53.676759,17.6544 
8191,265.176666,-53.677335,18.1285 
8194,265.178507,-53.677393,22.6955 
8196,265.178126,-53.677187,19.9977 
8198,265.177702,-53.677007,20.6545 
8199,265.177617,-53.677118,22.8986 
8200,265.177332,-53.677263,21.0874 
8217,265.176527,-53.677268,17.12 
8218,265.1765,-53.677509,17.8451 
8220,265.175913,-53.676963,17.754 
8225,265.176215,-53.676582,19.8948 
8227,265.175952,-53.676811,17.8243 
8228,265.175888,-53.676878,19.0928 
8229,265.175881,-53.676811,17.6972 
8231,265.175225,-53.677138,22.1991 
8232,265.175094,-53.67717,20.293 
8233,265.175015,-53.677234,19.2005 
8483,265.18575,-53.675375,18.0036 
8484,265.185505,-53.675616,17.5718 
8658,265.183114,-53.676404,18.3484 
8659,265.183044,-53.676194,19.2094 
8660,265.182966,-53.67556,17.7611 
8661,265.182895,-53.676422,24.9952 
8662,265.182836,-53.675215,18.772 
8663,265.182546,-53.675426,18.7606 
8664,265.18143,-53.675974,17.8666 
